Theta;T;Energy
1.76;2.00;-0.135506
1.86;2.00;-0.130083
1.96;2.00;-0.119485
2.06;2.00;-0.102922
2.16;2.00;-0.079563
2.26;2.00;-0.048534
2.36;2.00;-0.008920
2.46;2.00;0.040235
2.56;2.00;0.099931
2.66;2.00;0.171206
2.76;2.00;0.255142
2.86;2.00;0.352862
2.96;2.00;0.465530
3.06;2.00;0.594353
3.16;2.00;0.740579
3.26;2.00;0.905497
3.36;2.00;1.090437
3.46;2.00;1.296772
3.56;2.00;1.525917
3.66;2.00;1.779327
3.76;2.00;2.058499
3.86;2.00;2.364973
3.96;2.00;2.700329
4.06;2.00;3.066188
4.16;2.00;3.464215
4.26;2.00;3.896114
4.36;2.00;4.363634
4.46;2.00;4.868561
4.57;2.00;5.412727
4.67;2.00;5.998002
4.77;2.00;6.626300
4.87;2.00;7.299576
4.97;2.00;8.019827
5.07;2.00;8.789089
5.17;2.00;9.609444
5.27;2.00;10.483011
5.37;2.00;11.411954
5.47;2.00;12.398477
5.57;2.00;13.444827
5.67;2.00;14.553290
5.77;2.00;15.726195
5.87;2.00;16.965915
5.97;2.00;18.274860
6.07;2.00;19.655484
6.17;2.00;21.110284
6.27;2.00;22.641797
6.37;2.00;24.252600
6.47;2.00;25.945315
6.57;2.00;27.722603
6.67;2.00;29.587168
6.77;2.00;31.541754
6.87;2.00;33.589149
6.97;2.00;35.732180
7.07;2.00;37.973718
7.17;2.00;40.316673
7.27;2.00;42.764000
7.37;2.00;45.318692
7.47;2.00;47.983785
7.58;2.00;50.762358
7.68;2.00;53.657531
7.78;2.00;56.672462
7.88;2.00;59.810357
7.98;2.00;63.074458
8.08;2.00;66.468051
8.18;2.00;69.994464
8.28;2.00;73.657065
8.38;2.00;77.459266
8.48;2.00;81.404518
8.58;2.00;85.496315
8.68;2.00;89.738192
8.78;2.00;94.133726
8.88;2.00;98.686536
8.98;2.00;103.400282
9.08;2.00;108.278665
9.18;2.00;113.325428
9.28;2.00;118.544357
9.38;2.00;123.939279
9.48;2.00;129.514060
9.58;2.00;135.272611
9.68;2.00;141.218882
9.78;2.00;147.356867
9.88;2.00;153.690601
9.98;2.00;160.224158
10.08;2.00;166.961657
10.18;2.00;173.907257
10.28;2.00;181.065158
10.38;2.00;188.439603
10.48;2.00;196.034877
10.59;2.00;203.855303
10.69;2.00;211.905250
10.79;2.00;220.189127
10.89;2.00;228.711383
10.99;2.00;237.476511
11.09;2.00;246.489044
11.19;2.00;255.753557
11.29;2.00;265.274666
11.39;2.00;275.057031
11.49;2.00;285.105351
11.59;2.00;295.424368
11.69;2.00;306.018863
11.79;2.00;316.893664
11.89;2.00;328.053634
11.99;2.00;339.503683
12.09;2.00;351.248759
12.19;2.00;363.293854
12.29;2.00;375.644000
12.39;2.00;388.304272
12.49;2.00;401.279785
12.59;2.00;414.575697
12.69;2.00;428.197206
12.79;2.00;442.149553
12.89;2.00;456.438021
12.99;2.00;471.067933
13.09;2.00;486.044654
13.19;2.00;501.373592
13.29;2.00;517.060195
13.39;2.00;533.109952
13.49;2.00;549.528397
13.60;2.00;566.321101
13.70;2.00;583.493680
13.80;2.00;601.051791
13.90;2.00;619.001131
14.00;2.00;637.347440
14.10;2.00;656.096500
14.20;2.00;675.254133
14.30;2.00;694.826203
14.40;2.00;714.818618
14.50;2.00;735.237323
14.60;2.00;756.088309
14.70;2.00;777.377607
14.80;2.00;799.111288
14.90;2.00;821.295468
15.00;2.00;843.936300
-15.00;3.00;1225.536300
-14.90;3.00;1197.807524
-14.80;3.00;1170.569550
-14.70;3.00;1143.816220
-14.60;3.00;1117.541421
-14.50;3.00;1091.739081
-14.40;3.00;1066.403168
-14.30;3.00;1041.527694
-14.20;3.00;1017.106712
-14.10;3.00;993.134314
-14.00;3.00;969.604637
-13.90;3.00;946.511857
-13.80;3.00;923.850194
-13.70;3.00;901.613907
-13.60;3.00;879.797299
-13.49;3.00;858.394714
-13.39;3.00;837.400535
-13.29;3.00;816.809191
-13.19;3.00;796.615149
-13.09;3.00;776.812919
-12.99;3.00;757.397052
-12.89;3.00;738.362143
-12.79;3.00;719.702825
-12.69;3.00;701.413774
-12.59;3.00;683.489709
-12.49;3.00;665.925389
-12.39;3.00;648.715614
-12.29;3.00;631.855228
-12.19;3.00;615.339115
-12.09;3.00;599.162201
-11.99;3.00;583.319452
-11.89;3.00;567.805878
-11.79;3.00;552.616530
-11.69;3.00;537.746500
-11.59;3.00;523.190921
-11.49;3.00;508.944968
-11.39;3.00;495.003860
-11.29;3.00;481.362853
-11.19;3.00;468.017249
-11.09;3.00;454.962390
-10.99;3.00;442.193657
-10.89;3.00;429.706477
-10.79;3.00;417.496316
-10.69;3.00;405.558682
-10.59;3.00;393.889124
-10.48;3.00;382.483234
-10.38;3.00;371.336645
-10.28;3.00;360.445031
-10.18;3.00;349.804108
-10.08;3.00;339.409634
-9.98;3.00;329.257408
-9.88;3.00;319.343271
-9.78;3.00;309.663106
-9.68;3.00;300.212835
-9.58;3.00;290.988426
-9.48;3.00;281.985884
-9.38;3.00;273.201260
-9.28;3.00;264.630643
-9.18;3.00;256.270165
-9.08;3.00;248.116000
-8.98;3.00;240.164363
-8.88;3.00;232.411510
-8.78;3.00;224.853740
-8.68;3.00;217.487394
-8.58;3.00;210.308851
-8.48;3.00;203.314537
-8.38;3.00;196.500914
-8.28;3.00;189.864490
-8.18;3.00;183.401813
-8.08;3.00;177.109471
-7.98;3.00;170.984096
-7.88;3.00;165.022361
-7.78;3.00;159.220980
-7.68;3.00;153.576708
-7.58;3.00;148.086344
-7.47;3.00;142.746725
-7.37;3.00;137.554734
-7.27;3.00;132.507291
-7.17;3.00;127.601361
-7.07;3.00;122.833950
-6.97;3.00;118.202103
-6.87;3.00;113.702910
-6.77;3.00;109.333501
-6.67;3.00;105.091048
-6.57;3.00;100.972763
-6.47;3.00;96.975903
-6.37;3.00;93.097763
-6.27;3.00;89.335682
-6.17;3.00;85.687039
